Date,Name,Year,Letterboxd URI
2022-12-30,Parasite,2019,https://boxd.it/hTha
2024-02-18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-02-18,La La Land,2016,https://boxd.it/a5fa
2024-02-18,Donnie Darko,2001,https://boxd.it/2b2A
2024-02-18,Saltburn,2023,https://boxd.it/z4eg
2024-02-18,Heat,1995,https://boxd.it/2bg8
2024-02-26,Cinema Paradiso,1988,https://boxd.it/1UlA
2024-03-03,Pusher II,2004,https://boxd.it/1U7y
2024-03-11,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-11,Her,2013,https://boxd.it/4O24
2024-03-12,Normal People,2020,https://boxd.it/q2VY
2024-03-12,Oppenheimer,2023,https://boxd.it/wUow
2024-03-13,Natural Born Killers,1994,https://boxd.it/2aNg
2024-03-17,From Dusk Till Dawn,1996,https://boxd.it/29HQ
2024-03-18,Dream Scenario,2023,https://boxd.it/v2h0
2024-03-19,Good Time,2017,https://boxd.it/fcFu
2024-03-19,Trainspotting,1996,https://boxd.it/29XY
2024-03-24,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne
2024-03-26,Swingers,1996,https://boxd.it/1WNc
2024-03-26,Ex Machina,2015,https://boxd.it/7T2k
2024-03-26,Chinatown,1974,https://boxd.it/29vU
2024-03-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2024-03-26,Raging Bull,1980,https://boxd.it/28yI
2024-03-26,Tropic Thunder,2008,https://boxd.it/20WM
2024-03-26,Psycho,1960,https://boxd.it/2ab2
2024-03-26,Eyes Wide Shut,1999,https://boxd.it/2axs
2024-03-26,A Clockwork Orange,1971,https://boxd.it/2aVE
2024-03-26,Fallen Angels,1995,https://boxd.it/1UkW
2024-03-26,The Departed,2006,https://boxd.it/28MA
2024-03-26,Good Will Hunting,1997,https://boxd.it/2ahY
2024-03-26,The Big Lebowski,1998,https://boxd.it/2b6C
2024-03-26,Fargo,1996,https://boxd.it/2aHM
2024-03-26,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2024-03-26,Ratatouille,2007,https://boxd.it/27ww
2024-03-26,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2024-03-26,The Hangover,2009,https://boxd.it/1GjK
2024-03-26,Hacksaw Ridge,2016,https://boxd.it/azew
2024-03-26,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq
2024-03-26,Jackie Brown,1997,https://boxd.it/2aVO
2024-03-26,Death Proof,2007,https://boxd.it/27GG
2024-03-26,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2024-03-26,Inglourious Basterds,2009,https://boxd.it/1JzG
2024-03-26,Dune,2021,https://boxd.it/fA7G
2024-03-26,Black Swan,2010,https://boxd.it/Sw0
2024-03-26,Casino,1995,https://boxd.it/2ads
2024-03-27,School of Rock,2003,https://boxd.it/28xK
2024-03-28,Surf's Up,2007,https://boxd.it/1YKY
2024-03-28,Sound of Metal,2019,https://boxd.it/i7Q4
2024-04-03,Beautiful Boy,2018,https://boxd.it/g76Q
2024-04-08,The Disaster Artist,2017,https://boxd.it/cTqc
2024-04-23,Honey Boy,2019,https://boxd.it/ixvm
2024-04-27,Challengers,2024,https://boxd.it/zld0
2024-04-29,Ronin,1998,https://boxd.it/20wa
2024-05-04,Y Tu Mamá También,2001,https://boxd.it/28QM
2024-05-07,Mr. & Mrs. Smith,2005,https://boxd.it/29CG
2024-05-13,The Iron Claw,2023,https://boxd.it/w5Pm
2024-05-25,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2024-06-17,Enter the Void,2009,https://boxd.it/1dy2
2024-06-17,Hit Man,2023,https://boxd.it/ANB2
2024-07-09,Before Sunrise,1995,https://boxd.it/2bcU
2024-07-11,"Paris, Texas",1984,https://boxd.it/29Ts
2024-07-27,Zombieland,2009,https://boxd.it/1En6
2024-09-17,Crash,1996,https://boxd.it/29n2
2024-09-25,Civil War,2024,https://boxd.it/z1jW
2024-09-28,A Moment of Romance,1990,https://boxd.it/2PLU
2024-10-01,The Devil Wears Prada,2006,https://boxd.it/2awE
2024-10-08,The Girl Next Door,2004,https://boxd.it/1VSq
2024-10-11,Jarhead,2005,https://boxd.it/70m
2024-10-17,Control,2007,https://boxd.it/22IC
2024-10-22,Wayne's World,1992,https://boxd.it/1ZHG
2024-10-23,Pretty Woman,1990,https://boxd.it/2b6M
2024-10-26,Zoolander,2001,https://boxd.it/1YMA
2024-11-10,Anora,2024,https://boxd.it/Egcw
2024-11-14,The Penguin,2024,https://boxd.it/QkIU
2024-11-24,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I
2024-11-24,Dead Poets Society,1989,https://boxd.it/2aSg
2024-11-27,White Men Can't Jump,1992,https://boxd.it/1WWy
2024-12-09,Interstellar,2014,https://boxd.it/4VZ8
2024-12-14,Midnight in Paris,2011,https://boxd.it/i4a
2024-12-14,Persona,1966,https://boxd.it/29B4
2024-12-16,Gladiator,2000,https://boxd.it/2b9m
2024-12-18,Carol,2015,https://boxd.it/7DPK
2024-12-19,The Holdovers,2023,https://boxd.it/vHza
2024-12-20,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo
2024-12-20,The Dirt,2019,https://boxd.it/aGN4
