Date,Name,Year,Letterboxd URI,Rating
2022-12-30,Parasite,2019,https://boxd.it/hTha,4
2022-12-30,Joker,2019,https://boxd.it/h4cS,5
2022-12-30,Fight Club,1999,https://boxd.it/2a9q,5
2022-12-30,The Batman,2022,https://boxd.it/eDGs,4
2022-12-30,Pulp Fiction,1994,https://boxd.it/29Pq,5
2022-12-30,Get Out,2017,https://boxd.it/eOCm,3
2022-12-30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2022-12-30,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2022-12-30,The Dark Knight,2008,https://boxd.it/2b0k,5
2022-12-30,Whiplash,2014,https://boxd.it/7bQA,5
2022-12-30,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-12-30,Dune,2021,https://boxd.it/fA7G,3
2022-12-30,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2022-12-30,The Shining,1980,https://boxd.it/29Nu,4
2022-12-30,American Psycho,2000,https://boxd.it/28Vs,5
2022-12-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2022-12-30,Avengers: Infinity War,2018,https://boxd.it/9vEe,5
2022-12-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-12-30,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2022-12-30,The Truman Show,1998,https://boxd.it/18U8,5
2022-12-30,Black Panther,2018,https://boxd.it/8MHs,4
2022-12-30,Baby Driver,2017,https://boxd.it/bhF2,5
2022-12-30,The Social Network,2010,https://boxd.it/17ue,4
2022-12-30,Django Unchained,2012,https://boxd.it/2cCk,5
2022-12-30,The Matrix,1999,https://boxd.it/2a1m,4
2022-12-30,Forrest Gump,1994,https://boxd.it/728,2
2022-12-30,The Godfather,1972,https://boxd.it/2aNK,4
2022-12-30,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2022-12-30,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2022-12-30,Taxi Driver,1976,https://boxd.it/2b8y,3
2022-12-30,Don't Look Up,2021,https://boxd.it/o0Hc,4
