Date,Name,Year,Letterboxd URI,Rating,Liked,High_Rating,Genre,Runtime
2022-12-30,Parasite,2019,https://boxd.it/hTha,4.0,1,1,"Drama, Thriller",132 min
2022-12-30,Joker,2019,https://boxd.it/h4cS,5.0,0,1,"Crime, Drama, Thriller",122 min
2022-12-30,Fight Club,1999,https://boxd.it/2a9q,5.0,0,1,"Crime, Drama, Thriller",139 min
2022-12-30,The Batman,2022,https://boxd.it/eDGs,4.0,0,1,"Action, Crime, Drama",176 min
2022-12-30,Pulp Fiction,1994,https://boxd.it/29Pq,5.0,0,1,"Crime, Drama",154 min
2022-12-30,Get Out,2017,https://boxd.it/eOCm,3.0,0,0,"Horror, Mystery, Thriller",104 min
2022-12-30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.0,0,1,"Animation, Action, Adventure",117 min
2022-12-30,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4.0,0,1,"Action, Adventure, Fantasy",148 min
2022-12-30,The Dark Knight,2008,https://boxd.it/2b0k,5.0,0,1,"Action, Crime, Drama",152 min
2022-12-30,Whiplash,2014,https://boxd.it/7bQA,5.0,0,1,"Drama, Music",106 min
2022-12-30,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5.0,0,1,"Adventure, Comedy, Crime",99 min
2022-12-30,Dune,2021,https://boxd.it/fA7G,3.0,1,0,"Action, Adventure, Drama",155 min
2022-12-30,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4.0,1,1,"Comedy, Drama",161 min
2022-12-30,The Shining,1980,https://boxd.it/29Nu,4.0,0,1,"Drama, Horror",146 min
2022-12-30,American Psycho,2000,https://boxd.it/28Vs,5.0,0,1,"Crime, Drama, Horror",102 min
2022-12-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5.0,0,1,"Biography, Comedy, Crime",180 min
2022-12-30,Avengers: Infinity War,2018,https://boxd.it/9vEe,5.0,0,1,"Action, Adventure, Sci-Fi",149 min
2022-12-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4.0,1,1,"Adventure, Drama, War",153 min
2022-12-30,Avengers: Endgame,2019,https://boxd.it/9vE4,4.0,0,1,"Action, Adventure, Sci-Fi",181 min
2022-12-30,The Truman Show,1998,https://boxd.it/18U8,5.0,0,1,"Comedy, Drama",103 min
2022-12-30,Black Panther,2018,https://boxd.it/8MHs,4.0,0,1,"Action, Adventure, Sci-Fi",134 min
2022-12-30,Baby Driver,2017,https://boxd.it/bhF2,5.0,0,1,"Action, Crime, Drama",113 min
2022-12-30,The Social Network,2010,https://boxd.it/17ue,4.0,0,1,"Biography, Drama",120 min
2022-12-30,Django Unchained,2012,https://boxd.it/2cCk,5.0,0,1,"Comedy, Drama, Western",165 min
2022-12-30,The Matrix,1999,https://boxd.it/2a1m,4.0,0,1,"Action, Sci-Fi",136 min
2022-12-30,Forrest Gump,1994,https://boxd.it/728,2.0,0,0,"Drama, Romance",142 min
2022-12-30,The Godfather,1972,https://boxd.it/2aNK,4.0,0,1,"Crime, Drama",175 min
2022-12-30,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5.0,0,1,"Action, Crime, Thriller",111 min
2022-12-30,Call Me by Your Name,2017,https://boxd.it/dYmm,4.0,0,1,"Drama, Romance",132 min
2022-12-30,Taxi Driver,1976,https://boxd.it/2b8y,3.0,0,0,"Crime, Drama",114 min
2022-12-30,Don't Look Up,2021,https://boxd.it/o0Hc,4.0,0,1,"Comedy, Drama, Sci-Fi",138 min
2022-12-30,Shutter Island,2010,https://boxd.it/1U82,5.0,0,1,"Drama, Mystery, Thriller",138 min
2022-12-30,Uncut Gems,2019,https://boxd.it/gXGc,5.0,0,1,"Crime, Drama, Thriller",135 min
2022-12-30,Blade Runner 2049,2017,https://boxd.it/b8wK,4.0,0,1,"Action, Drama, Mystery",164 min
2022-12-30,Soul,2020,https://boxd.it/ioLA,5.0,0,1,"Animation, Adventure, Comedy",100 min
2022-12-30,Coco,2017,https://boxd.it/bYJQ,4.0,0,1,"Animation, Adventure, Drama",105 min
2022-12-30,Ratatouille,2007,https://boxd.it/27ww,5.0,1,1,"Animation, Adventure, Comedy",111 min
2022-12-30,Star Wars,1977,https://boxd.it/72s,5.0,0,1,"Action, Adventure, Fantasy",121 min
2022-12-30,Deadpool,2016,https://boxd.it/9fOC,4.0,0,1,"Action, Comedy, Sci-Fi",108 min
2022-12-30,The Avengers,2012,https://boxd.it/1xFW,4.0,0,1,"Action, Sci-Fi",143 min
2022-12-30,Inside Out,2015,https://boxd.it/4KHC,4.0,0,1,"Animation, Adventure, Comedy",95 min
2022-12-30,Drive,2011,https://boxd.it/IG,4.0,0,1,"Action, Drama",100 min
2022-12-30,Back to the Future,1985,https://boxd.it/2b8e,4.0,0,1,"Adventure, Comedy, Sci-Fi",116 min
2022-12-30,GoodFellas,1990,https://boxd.it/29FA,5.0,0,1,"Biography, Crime, Drama",145 min
2022-12-30,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5.0,0,1,Drama,103 min
2022-12-30,Nightcrawler,2014,https://boxd.it/780m,3.0,0,0,"Crime, Drama, Thriller",117 min
2022-12-30,Up,2009,https://boxd.it/1OEc,5.0,0,1,"Animation, Adventure, Comedy",96 min
2022-12-30,The Empire Strikes Back,1980,https://boxd.it/27Vw,5.0,0,1,"Action, Adventure, Fantasy",124 min
2022-12-30,Tenet,2020,https://boxd.it/leq4,4.0,0,1,"Action, Sci-Fi, Thriller",150 min
2022-12-30,WALL·E,2008,https://boxd.it/1VEo,4.0,0,1,"Animation, Adventure, Family",98 min
2022-12-30,No Country for Old Men,2007,https://boxd.it/21ew,3.0,0,0,"Crime, Drama, Thriller",122 min
